index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
0,Snow White and the Seven Dwarfs,"Dec 21, 1937",Musical,G,184925485.0,5228953251.0
1,Pinocchio,"Feb 9, 1940",Adventure,G,84300000.0,2188229052.0
2,Fantasia,"Nov 13, 1940",Musical,G,83320000.0,2187090808.0
3,Song of the South,"Nov 12, 1946",Adventure,G,65000000.0,1078510579.0
4,Cinderella,"Feb 15, 1950",Drama,G,85000000.0,920608730.0
5,"20,000 Leagues Under the Sea","Dec 23, 1954",Adventure,,28200000.0,528279994.0
6,Lady and the Tramp,"Jun 22, 1955",Drama,G,93600000.0,1236035515.0
7,Sleeping Beauty,"Jan 29, 1959",Drama,,9464608.0,21505832.0
8,101 Dalmatians,"Jan 25, 1961",Comedy,G,153000000.0,1362870985.0
9,The Absent Minded Professor,"Mar 16, 1961",Comedy,,25381407.0,310094574.0
10,Babes in Toyland,"Dec 14, 1961",Musical,G,10218316.0,124841160.0
11,Bon Voyage!,"May 17, 1962",Comedy,Not Rated,9230769.0,109581646.0
12,The Sword in the Stone,"Dec 25, 1963",Adventure,,22182353.0,153870834.0
13,The Jungle Book,"Oct 18, 1967",Musical,Not Rated,141843000.0,789612346.0
14,Blackbeard's Ghost,"Feb 8, 1968",Comedy,,21540050.0,138612686.0
15,The Aristocats,"Apr 24, 1970",Musical,G,55675257.0,255161499.0
16,The Boatniks,"Jul 1, 1970",Comedy,,18607492.0,101200742.0
17,Bedknobs and Broomsticks,"Oct 7, 1971",Musical,,17871174.0,91305448.0
18,The Apple Dumpling Gang,"Jul 1, 1975",Comedy,,31916500.0,131246872.0
19,Freaky Friday,"Jan 21, 1977",Comedy,,25942000.0,98067733.0
20,The Many Adventures of Winnie the Pooh,"Mar 11, 1977",,,0.0,0.0
21,The Rescuers,"Jun 22, 1977",Adventure,,48775599.0,159743914.0
22,Herbie Goes to Monte Carlo,"Jun 24, 1977",,,28000000.0,105847527.0
23,The Black Hole,"Dec 21, 1979",,,35841901.0,120377374.0
24,Midnight Madness,"Feb 8, 1980",,,2900000.0,9088096.0
25,The Last Flight of Noah’s Ark,"Jun 25, 1980",,,11000000.0,34472116.0
26,The Devil and Max Devlin,"Jan 1, 1981",,,16000000.0,48517980.0
27,Amy,"Mar 20, 1981",Drama,,0.0,0.0
28,The Fox and the Hound,"Jul 10, 1981",Comedy,,43899231.0,133118889.0
29,Condorman,"Aug 7, 1981",Action,,0.0,0.0
30,Night Crossing,"Feb 5, 1982",Drama,,4500000.0,12903059.0
31,Tron,"Jul 9, 1982",Action,,26918576.0,77184895.0
32,Tex,"Nov 19, 1982",Drama,,7199408.0,20643199.0
33,Trenchcoat,"Mar 11, 1983",Comedy,,4304286.0,11519089.0
34,Something Wicked This Way Comes,"Apr 29, 1983",Horror,,5656087.0,15136765.0
35,Never Cry Wolf,"Oct 7, 1983",Drama,,27668764.0,70669955.0
36,Running Brave,"Nov 4, 1983",Drama,,1204595.0,3223725.0
37,Splash,"Mar 9, 1984",Comedy,PG,62599495.0,157057661.0
38,Country,"Sep 29, 1984",Drama,,8400000.0,21075000.0
39,Baby: Secret of the Lost Legend,"Mar 22, 1985",Adventure,,14276095.0,33900697.0
40,Return to Oz,"Jun 21, 1985",Adventure,,10618813.0,25215934.0
41,The Black Cauldron,"Jul 24, 1985",Adventure,,21288692.0,50553142.0
42,My Science Project,"Aug 9, 1985",Comedy,,4100000.0,9736051.0
43,The Journey of Natty Gann,"Sep 27, 1985",Drama,,9468512.0,22302956.0
44,One Magic Christmas,"Nov 22, 1985",Drama,,13229514.0,31415432.0
45,Down and Out in Beverly Hills,"Jan 31, 1986",Comedy,R,62134225.0,141183693.0
46,Off Beat,"Apr 11, 1986",Comedy,,4842778.0,11003932.0
47,Ruthless People,"Jun 27, 1986",Comedy,R,71624879.0,162748712.0
48,The Great Mouse Detective,"Jul 2, 1986",Adventure,,23605534.0,53637367.0
49,Flight of the Navigator,"Jul 30, 1986",Adventure,,18564613.0,42183197.0
50,Tough Guys,"Oct 3, 1986",Comedy,,21458229.0,48758184.0
51,The Color of Money,"Oct 17, 1986",Drama,R,52293000.0,117957323.0
52,Outrageous Fortune,"Jan 30, 1987",Comedy,R,52864741.0,113976921.0
53,Tin Men,"Mar 6, 1987",Comedy,,25411386.0,54787202.0
54,Ernest Goes to Camp,"May 22, 1987",Comedy,,23509382.0,50686462.0
55,Benji the Hunted,"Jun 5, 1987",Adventure,,15212539.0,32798382.0
56,Adventures in Babysitting,"Jul 3, 1987",Comedy,,33790923.0,72853569.0
57,Stakeout,"Aug 5, 1987",Comedy,R,65673233.0,141592160.0
58,Can't Buy Me Love,"Aug 14, 1987",Romantic Comedy,,31623833.0,68181300.0
59,Hello Again,"Nov 6, 1987",Comedy,,20419446.0,44024529.0
60,3 Men and a Baby,"Nov 25, 1987",Comedy,PG,167780960.0,353334607.0
61,Good Morning Vietnam,"Dec 23, 1987",Comedy,R,123922370.0,254414837.0
62,Shoot to Kill,"Feb 12, 1988",Action,,29300000.0,60097074.0
63,D.O.A.,"Mar 18, 1988",Thriller/Suspense,,12706478.0,26062188.0
64,Return to Snowy River,"Apr 15, 1988",Adventure,PG,13687027.0,28073384.0
65,Big Business,"Jun 10, 1988",Comedy,PG,40150487.0,82352451.0
66,Who Framed Roger Rabbit?,"Jun 22, 1988",Comedy,PG,154112492.0,316250084.0
67,Cocktail,"Jul 29, 1988",Drama,R,78222753.0,160442289.0
68,The Rescue,"Aug 5, 1988",Action,,5855392.0,12009960.0
69,Heartbreak Hotel,"Sep 30, 1988",Comedy,,5509417.0,11300331.0
70,The Good Mother,"Nov 4, 1988",Drama,,4764606.0,9772655.0
71,Ernest Saves Christmas,"Nov 11, 1988",Comedy,PG,28202109.0,57845202.0
72,Oliver & Company,"Nov 18, 1988",Adventure,G,49576671.0,102254492.0
73,Beaches,"Dec 21, 1988",Drama,PG-13,57041866.0,120381757.0
74,Three Fugitives,"Jan 27, 1989",Comedy,PG-13,40590000.0,85757817.0
75,New York Stories,"Mar 1, 1989",Drama,PG,10763469.0,22740861.0
76,Disorganized Crime,"Apr 14, 1989",Comedy,,7210149.0,15233465.0
77,Dead Poets Society,"Jun 2, 1989",Drama,PG,95860116.0,202531517.0
78,"Honey, I Shrunk the Kids","Jun 23, 1989",Adventure,PG,130724172.0,276191669.0
79,Turner & Hooch,"Jul 28, 1989",Comedy,PG,71079915.0,150176361.0
80,Cheetah,"Aug 18, 1989",Adventure,,7882250.0,16653473.0
81,An Innocent Man,"Oct 6, 1989",Drama,R,19397847.0,40983414.0
82,Gross Anatomy,"Oct 20, 1989",Drama,PG-13,11346186.0,23972012.0
83,The Little Mermaid,"Nov 15, 1989",Adventure,G,111543479.0,223726012.0
84,Blaze,"Dec 13, 1989",Drama,R,19049727.0,39884640.0
85,Stella,"Feb 2, 1990",Drama,PG-13,20062347.0,40077147.0
86,Where the Heart Is,"Feb 23, 1990",Comedy,,1106475.0,2210321.0
87,Pretty Woman,"Mar 23, 1990",Romantic Comedy,R,178406268.0,356389765.0
88,Ernest Goes to Jail,"Apr 6, 1990",Comedy,PG,25029569.0,49999822.0
89,Spaced Invaders,"Apr 27, 1990",Comedy,PG,15000000.0,29964452.0
90,Fire Birds,"May 24, 1990",Action,PG-13,14760451.0,29485923.0
91,Dick Tracy,"Jun 15, 1990",Action,PG,103738726.0,207231621.0
92,Betsy's Wedding,"Jun 22, 1990",Comedy,R,19740070.0,39433357.0
93,Arachnophobia,"Jul 18, 1990",Thriller/Suspense,PG-13,53208180.0,106290270.0
94,DuckTales: The Movie - Treasure of th…,"Aug 3, 1990",Adventure,G,18075331.0,36107823.0
95,Taking Care of Business,"Aug 17, 1990",Comedy,R,20005435.0,39963460.0
96,Mr. Destiny,"Oct 12, 1990",Comedy,PG-13,15379253.0,30722056.0
97,The Rescuers Down Under,"Nov 16, 1990",Adventure,G,27931461.0,55796728.0
98,3 Men and a Little Lady,"Nov 21, 1990",Comedy,PG,71609321.0,143108869.0
99,Green Card,"Dec 25, 1990",Romantic Comedy,PG-13,29804169.0,59679131.0
100,White Fang,"Jan 18, 1991",Adventure,PG,34729091.0,69540672.0
101,Scenes from a Mall,"Feb 22, 1991",Comedy,,9563393.0,19149495.0
102,Haakon Haakonsen,"Mar 1, 1991",Adventure,PG,15024232.0,30084149.0
103,The Marrying Man,"Apr 5, 1991",Romantic Comedy,R,12454768.0,24939118.0
104,Oscar,"Apr 26, 1991",Comedy,PG,23562716.0,47181395.0
105,One Good Cop,"May 3, 1991",Action,R,11276846.0,22580472.0
106,What About Bob?,"May 17, 1991",Comedy,PG,63710000.0,127571325.0
107,Wild Hearts Can't Be Broken,"May 24, 1991",Drama,,7300000.0,14617333.0
108,The Rocketeer,"Jun 21, 1991",Action,PG,46573027.0,93256673.0
109,The Doctor,"Jul 24, 1991",Drama,PG-13,37497480.0,75084021.0
110,Paradise,"Sep 18, 1991",Drama,PG-13,18634643.0,37313540.0
111,Deceived,"Sep 27, 1991",Thriller/Suspense,PG-13,28738096.0,57544453.0
112,Ernest Scared Stupid,"Oct 11, 1991",Comedy,PG,14143280.0,28320147.0
113,Billy Bathgate,"Nov 1, 1991",Drama,R,15565363.0,31167691.0
114,Beauty and the Beast,"Nov 13, 1991",Musical,G,218951625.0,363017667.0
115,Father of the Bride,"Dec 20, 1991",Comedy,PG,89325780.0,179821881.0
116,The Hand That Rocks the Cradle,"Jan 10, 1992",Thriller/Suspense,R,88036683.0,178831137.0
117,Medicine Man,"Feb 7, 1992",Drama,PG-13,44948240.0,91304495.0
118,Blame it on the Bellboy,"Mar 6, 1992",Comedy,PG-13,2891055.0,5872667.0
119,Noises Off...,"Mar 20, 1992",Comedy,PG-13,2280148.0,4631720.0
120,Straight Talk,"Apr 3, 1992",Comedy,PG,21202099.0,43068356.0
121,Newsies,"Apr 8, 1992",,PG,2706352.0,5497481.0
122,Passed Away,"Apr 24, 1992",,PG-13,4030793.0,8187848.0
123,Encino Man,"May 22, 1992",Comedy,PG,40057130.0,81369058.0
124,Sister Act,"May 29, 1992",Comedy,PG,139605150.0,283583472.0
125,Honey I Blew Up the Kid,"Jul 17, 1992",Comedy,PG,58662452.0,119162518.0
126,A Stranger Among Us,"Jul 17, 1992",Drama,PG-13,12282994.0,24950752.0
127,3 Ninjas,"Aug 7, 1992",Action,PG,29028000.0,58965304.0
128,A Gun in Betty Lou's Handbag,"Aug 21, 1992",,PG-13,3591460.0,7295423.0
129,Captain Ron,"Sep 18, 1992",Comedy,PG-13,22518097.0,45741576.0
130,Sarafina!,"Sep 18, 1992",Drama,PG-13,7306242.0,14841352.0
131,Innocent Blood,"Sep 25, 1992",Horror,R,4877567.0,9907922.0
132,The Mighty Ducks,"Oct 2, 1992",Comedy,PG,50752337.0,103120810.0
133,1492: Conquest of Paradise,"Oct 9, 1992",Adventure,PG-13,7099531.0,14421454.0
134,Consenting Adults,"Oct 16, 1992",Drama,R,21591728.0,43859823.0
135,Aladdin,"Nov 11, 1992",Comedy,G,217350219.0,441969178.0
136,The Distinguished Gentleman,"Dec 4, 1992",Comedy,R,46434570.0,94349900.0
137,The Muppet Christmas Carol,"Dec 11, 1992",Comedy,G,27281507.0,55417615.0
138,Alive,"Jan 15, 1993",Adventure,R,36299670.0,73914543.0
139,Aspen Extreme,"Jan 22, 1993",Romantic Comedy,PG-13,7843388.0,15970955.0
140,Homeward Bound: The Incredible Journey,"Feb 3, 1993",Adventure,G,41833324.0,85182343.0
141,The Cemetery Club,"Feb 3, 1993",Comedy,PG-13,5583621.0,11369541.0
142,Swing Kids,"Mar 5, 1993",Musical,PG-13,5632086.0,11468231.0
143,A Far Off Place,"Mar 12, 1993",Adventure,PG,12890752.0,26248558.0
144,Born Yesterday,"Mar 26, 1993",Romantic Comedy,PG,17760754.0,36165012.0
145,The Adventures of Huck Finn,"Apr 2, 1993",Adventure,PG,24103594.0,49080505.0
146,Bound by Honor,"Apr 16, 1993",,R,4496583.0,9156084.0
147,Indian Summer,"Apr 23, 1993",Comedy,R,14717851.0,29968953.0
148,Super Mario Bros.,"May 28, 1993",Action,PG,20844907.0,42445058.0
149,Guilty as Sin,"Jun 4, 1993",Thriller/Suspense,R,22622537.0,46064723.0
150,Life With Mikey,"Jun 4, 1993",Comedy,PG,12349549.0,25146538.0
151,What's Love Got to Do With It,"Jun 9, 1993",Drama,R,39100956.0,79618610.0
152,Son in Law,"Jul 2, 1993",Comedy,PG-13,25989889.0,52921433.0
153,Hocus Pocus,"Jul 16, 1993",Comedy,PG,39360491.0,80147079.0
154,Another Stakeout,"Jul 23, 1993",Comedy,PG-13,20107504.0,40943541.0
155,My Boyfriend's Back,"Aug 6, 1993",,PG-13,3218882.0,6554384.0
156,Father Hood,"Aug 27, 1993",,PG-13,3268203.0,6654819.0
157,The Joy Luck Club,"Sep 8, 1993",Drama,R,32790064.0,66768171.0
158,Money for Nothing,"Sep 10, 1993",Comedy,R,1044824.0,2127496.0
159,The Program,"Sep 24, 1993",Action,R,23042200.0,46919256.0
160,Cool Runnings,"Oct 1, 1993",Comedy,PG,68856263.0,140392731.0
161,The Nightmare Before Christmas,"Oct 13, 1993",Musical,PG,50408318.0,100026637.0
162,The Three Musketeers,"Nov 12, 1993",Adventure,PG,53661805.0,109310377.0
163,Sister Act 2 Back in the Habit,"Dec 10, 1993",Comedy,PG,57319029.0,116965668.0
164,Tombstone,"Dec 25, 1993",Western,R,56505065.0,115781734.0
165,The Air Up There,"Jan 7, 1994",Comedy,PG,20782439.0,42940186.0
166,Cabin Boy,"Jan 7, 1994",Comedy,PG-13,3469493.0,7168577.0
167,Iron Will,"Jan 14, 1994",Drama,PG,20623071.0,42610902.0
168,Red Rock West,"Jan 28, 1994",,R,2502551.0,5170709.0
169,Blank Check,"Feb 11, 1994",Comedy,PG,30573770.0,63170804.0
170,Angie,"Mar 4, 1994",Comedy,R,9252349.0,19116981.0
171,The Ref,"Mar 9, 1994",Comedy,R,11325885.0,23401275.0
172,D2: The Mighty Ducks,"Mar 25, 1994",Comedy,PG,45604206.0,94226333.0
173,Holy Matrimony,"Apr 8, 1994",Comedy,,713234.0,1473665.0
174,White Fang 2: Myth of the White Wolf,"Apr 15, 1994",Adventure,PG,8752399.0,18083994.0
175,The Inkwell,"Apr 22, 1994",Comedy,R,8864699.0,18316030.0
176,When a Man Loves a Woman,"Apr 29, 1994",Drama,R,50021959.0,103354194.0
177,3 Ninjas Kick Back,"May 6, 1994",Action,PG,11744960.0,24267154.0
178,Renaissance Man,"Jun 3, 1994",Comedy,PG-13,24172899.0,49945474.0
179,The Lion King,"Jun 15, 1994",Adventure,G,422780140.0,761640898.0
180,I Love Trouble,"Jun 29, 1994",Romantic Comedy,PG,30806194.0,63651027.0
181,Angels in the Outfield,"Jul 15, 1994",Comedy,PG,50236831.0,103798152.0
182,In the Army Now,"Aug 12, 1994",Comedy,PG,28881266.0,59673787.0
183,Color of Night,"Aug 19, 1994",Thriller/Suspense,R,19750470.0,40804816.0
184,Camp Nowhere,"Aug 26, 1994",Comedy,PG,10442641.0,21576332.0
185,It's Pat,"Aug 26, 1994",Comedy,,60822.0,125666.0
186,A Simple Twist of Fate,"Sep 2, 1994",Drama,PG-13,3404935.0,7035189.0
187,Quiz Show,"Sep 14, 1994",Drama,PG-13,24787282.0,50840394.0
188,Terminal Velocity,"Sep 23, 1994",Action,PG-13,16478900.0,34048315.0
189,Ed Wood,"Sep 30, 1994",Comedy,R,5828466.0,12042634.0
190,The Puppet Masters,"Oct 21, 1994",Horror,R,8579626.0,17727017.0
191,Squanto: A Warrior's Tale,"Oct 28, 1994",Drama,PG,3319344.0,6858345.0
192,The Santa Clause,"Nov 11, 1994",Comedy,PG,144833357.0,298369717.0
193,A Low Down Dirty Shame,"Nov 23, 1994",Action,R,29317886.0,60321919.0
194,The Jungle Book,"Dec 25, 1994",Adventure,PG,44342956.0,88930321.0
195,Houseguest,"Jan 6, 1995",Comedy,PG,26325256.0,51016522.0
196,Bad Company,"Jan 20, 1995",Thriller/Suspense,R,3523909.0,6829092.0
197,Miami Rhapsody,"Jan 27, 1995",Romantic Comedy,PG-13,5086578.0,9857435.0
198,The Jerky Boys,"Feb 3, 1995",Comedy,R,7555256.0,14641561.0
199,Heavy Weights,"Feb 17, 1995",Comedy,PG,17671310.0,34245779.0
200,Man of the House,"Mar 3, 1995",Comedy,PG,40029009.0,77573459.0
201,Roommates,"Mar 3, 1995",Comedy,PG,12076989.0,23404369.0
202,Tall Tale,"Mar 24, 1995",Western,PG,8247627.0,15983331.0
203,A Pyromaniac's Love Story,"Mar 28, 1995",Romantic Comedy,PG,468240.0,907414.0
204,Jefferson in Paris,"Mar 31, 1995",Drama,PG-13,2461628.0,4770461.0
205,Funny Bones,"Mar 31, 1995",Comedy,R,529135.0,1025425.0
206,A Goofy Movie,"Apr 7, 1995",Comedy,G,35336439.0,68479579.0
207,While You Were Sleeping,"Apr 21, 1995",Romantic Comedy,PG,81057016.0,157082900.0
208,Crimson Tide,"May 12, 1995",Action,R,91387195.0,177102077.0
209,Mad Love,"May 26, 1995",Drama,PG-13,15446532.0,29934306.0
210,Pocahontas,"Jun 10, 1995",Adventure,G,141579773.0,274370957.0
211,Judge Dredd,"Jun 30, 1995",Action,R,34687912.0,67222776.0
212,Operation Dumbo Drop,"Jul 28, 1995",Adventure,PG,24670346.0,47809421.0
213,Dangerous Minds,"Aug 11, 1995",Drama,R,84919401.0,164552293.0
214,A Kid in King Arthur's Court,"Aug 11, 1995",Adventure,PG,13406717.0,25981285.0
215,The Tie That Binds,"Sep 8, 1995",Thriller/Suspense,R,5762795.0,11167895.0
216,Unstrung Heroes,"Sep 15, 1995",Drama,PG,7929000.0,15365850.0
217,The Big Green,"Sep 29, 1995",Comedy,PG,17736619.0,34372339.0
218,Dead Presidents,"Oct 4, 1995",Drama,R,24120194.0,46741467.0
219,The Scarlet Letter,"Oct 13, 1995",Drama,R,10359006.0,20075033.0
220,Feast of July,"Oct 13, 1995",Drama,R,293274.0,568342.0
221,Powder,"Oct 27, 1995",Drama,PG-13,30833914.0,59727216.0
222,Toy Story,"Nov 22, 1995",Adventure,G,191796233.0,370409631.0
223,Father of the Bride Part II,"Dec 8, 1995",Comedy,PG,76578911.0,147658438.0
224,Nixon,"Dec 20, 1995",Drama,R,13668249.0,26302005.0
225,Tom and Huck,"Dec 22, 1995",Adventure,PG,23837227.0,45911517.0
226,Mr. Holland's Opus,"Dec 29, 1995",Drama,PG,82582604.0,157508868.0
227,White Squall,"Feb 2, 1996",Adventure,PG-13,10229300.0,19509726.0
228,Muppet Treasure Island,"Feb 16, 1996",Adventure,G,34327391.0,65470567.0
229,Mr. Wrong,"Feb 16, 1996",Romantic Comedy,PG-13,12805071.0,24422334.0
230,Before and After,"Feb 23, 1996",Drama,PG-13,8642118.0,16482589.0
231,Up Close & Personal,"Mar 1, 1996",Drama,PG-13,51045801.0,97356578.0
232,Homeward Bound II: Lost in San Franc…,"Mar 8, 1996",Adventure,G,32709423.0,62384706.0
233,Two Much,"Mar 15, 1996",Romantic Comedy,PG-13,1078555.0,2057055.0
234,Un indien dans la ville,"Mar 22, 1996",Comedy,PG,1029731.0,1963937.0
235,James and the Giant Peach,"Apr 12, 1996",Adventure,PG,28921264.0,55159783.0
236,Celtic Pride,"Apr 19, 1996",Comedy,PG-13,9240378.0,17623615.0
237,Last Dance,"May 3, 1996",Drama,R,5857534.0,11171714.0
238,Boys,"May 10, 1996",Drama,PG-13,21930418.0,41826566.0
239,Spy Hard,"May 24, 1996",Comedy,PG-13,26936265.0,51373912.0
240,Eddie,"May 31, 1996",Comedy,PG-13,31369401.0,59828966.0
241,The Rock,"Jun 7, 1996",Action,R,134069511.0,255702705.0
242,The Hunchback of Notre Dame,"Jun 21, 1996",Adventure,G,100138851.0,190988799.0
243,Phenomenon,"Jul 5, 1996",Drama,PG,104636382.0,199559799.0
244,Kazaam,"Jul 17, 1996",Comedy,PG,18880508.0,36009655.0
245,Jack,"Aug 9, 1996",Drama,PG-13,58617334.0,111792852.0
246,First Kid,"Aug 30, 1996",Comedy,PG,26465920.0,50465108.0
247,The Rich Man's Wife,"Sep 13, 1996",Thriller/Suspense,R,8538318.0,16284619.0
248,D3: The Mighty Ducks,"Oct 4, 1996",Comedy,PG,22936273.0,43713554.0
249,The Associate,"Oct 25, 1996",Comedy,PG-13,12772657.0,24333094.0
250,Ransom,"Nov 8, 1996",Action,R,136492681.0,259807820.0
251,The War at Home,"Nov 20, 1996",,R,34368.0,65543.0
252,101 Dalmatians,"Nov 27, 1996",Comedy,G,136189294.0,258728898.0
253,The Preacher's Wife,"Dec 13, 1996",Drama,PG,48102795.0,91076877.0
254,Evita,"Dec 25, 1996",Musical,PG,50047179.0,92077628.0
255,Metro,"Jan 17, 1997",Action,R,32017895.0,58804106.0
256,Prefontaine,"Jan 24, 1997",Drama,PG-13,590817.0,1085093.0
257,Shadow Conspiracy,"Jan 31, 1997",Thriller/Suspense,R,2154540.0,3957025.0
258,That Darn Cat,"Feb 14, 1997",Comedy,PG,18301828.0,33613158.0
259,Jungle 2 Jungle,"Mar 7, 1997",Comedy,PG,59925026.0,110058379.0
260,The Sixth Man,"Mar 28, 1997",Comedy,PG-13,14765099.0,27117599.0
261,Grosse Pointe Blank,"Apr 11, 1997",Black Comedy,R,28084357.0,51579764.0
262,Romy and Michele's High School Reunion,"Apr 25, 1997",Comedy,R,29235353.0,53693680.0
263,Gone Fishin',"May 30, 1997",Comedy,PG,19745922.0,36265379.0
264,Con Air,"Jun 6, 1997",Action,R,101117573.0,185712664.0
265,Hercules,"Jun 13, 1997",Adventure,G,99112101.0,182029412.0
266,George Of The Jungle,"Jul 16, 1997",Comedy,PG,105263257.0,193326632.0
267,Nothing To Lose,"Jul 18, 1997",Comedy,R,44480039.0,81692095.0
268,Air Bud,"Aug 1, 1997",Comedy,PG,24646936.0,45266588.0
269,G.I. Jane,"Aug 22, 1997",Drama,R,48169156.0,88467531.0
270,A Thousand Acres,"Sep 19, 1997",Drama,R,7928412.0,14561324.0
271,Washington Square,"Oct 5, 1997",Drama,PG,1775644.0,3257546.0
272,Rocket Man,"Oct 10, 1997",Comedy,PG,15448043.0,28371890.0
273,Playing God,"Oct 17, 1997",Thriller/Suspense,R,4166918.0,7652965.0
274,Flubber,"Nov 26, 1997",Comedy,PG,92993801.0,170406423.0
275,An American Werewolf in Paris,"Dec 25, 1997",Horror,R,26570463.0,48546161.0
276,Mr. Magoo,"Dec 25, 1997",Comedy,PG,21437192.0,39145784.0
277,Kundun,"Dec 25, 1997",Drama,PG-13,5686694.0,10236836.0
278,Deep Rising,"Jan 30, 1998",Action,R,11203026.0,20136775.0
279,Krippendorf's Tribe,"Feb 27, 1998",Comedy,PG-13,7571115.0,13608633.0
280,An Alan Smithee Film: Burn Hollywood …,"Feb 27, 1998",Comedy,R,45779.0,82277.0
281,Meet the Deedles,"Mar 27, 1998",Comedy,PG,4356126.0,7829877.0
282,He Got Game,"May 1, 1998",Drama,R,21567853.0,38766948.0
283,The Horse Whisperer,"May 15, 1998",Drama,PG-13,75383563.0,135497531.0
284,"Six Days, Seven Nights","Jun 12, 1998",Romantic Comedy,PG-13,74339294.0,133620516.0
285,Mulan,"Jun 19, 1998",Adventure,G,120620254.0,216807832.0
286,Armageddon,"Jul 1, 1998",Adventure,PG-13,201578182.0,362324957.0
287,Jane Austen's Mafia,"Jul 24, 1998",Comedy,PG-13,19843795.0,35668055.0
288,The Parent Trap,"Jul 29, 1998",Comedy,PG,66308518.0,119185667.0
289,Firelight,"Sep 4, 1998",Drama,R,784419.0,1409943.0
290,Simon Birch,"Sep 11, 1998",Drama,PG,18253415.0,32809442.0
291,Holy Man,"Oct 9, 1998",Comedy,PG,12069719.0,21694605.0
292,Beloved,"Oct 16, 1998",Drama,R,22852487.0,41062682.0
293,The Waterboy,"Nov 6, 1998",Comedy,PG-13,161491646.0,288691833.0
294,I'll Be Home For Christmas,"Nov 13, 1998",Comedy,PG,12214338.0,21941840.0
295,A Bug's Life,"Nov 20, 1998",Adventure,G,162798565.0,288981698.0
