index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
296,Enemy of the State,"Nov 20, 1998",Action,R,111549836.0,198472008.0
297,Rushmore,"Dec 11, 1998",Black Comedy,R,17105219.0,28392518.0
298,A Civil Action,"Dec 25, 1998",Drama,PG-13,56709981.0,94139530.0
299,Mighty Joe Young,"Dec 25, 1998",Adventure,PG,50632037.0,87906042.0
300,My Favorite Martian,"Feb 12, 1999",Comedy,PG,36850101.0,61150849.0
301,The Other Sister,"Feb 26, 1999",Romantic Comedy,PG-13,27807627.0,46145331.0
302,Doug's 1st Movie,"Mar 26, 1999",Adventure,G,19421271.0,32228598.0
303,Ten Things I Hate About You,"Mar 31, 1999",Romantic Comedy,PG-13,38177966.0,63354375.0
304,Endurance,"May 14, 1999",,PG,229128.0,380218.0
305,Instinct,"Jun 4, 1999",Drama,R,34105207.0,56595842.0
306,Tarzan,"Jun 16, 1999",Adventure,G,171091819.0,283900254.0
307,Summer of Sam,"Jul 2, 1999",Drama,R,19288130.0,32007656.0
308,Inspector Gadget,"Jul 23, 1999",Comedy,PG,97387965.0,161610341.0
309,The Sixth Sense,"Aug 6, 1999",Thriller/Suspense,PG-13,293506292.0,485424724.0
310,The 13th Warrior,"Aug 27, 1999",Action,R,32698899.0,54262148.0
311,Breakfast of Champions,"Sep 17, 1999",Comedy,R,178287.0,295851.0
312,Mumford,"Sep 24, 1999",Comedy,R,4559569.0,7566363.0
313,"Mystery, Alaska","Oct 1, 1999",Comedy,R,8891623.0,14755189.0
314,The Straight Story,"Oct 15, 1999",Drama,G,6197866.0,10111144.0
315,The Insider,"Nov 5, 1999",Drama,R,28965197.0,47794214.0
316,Toy Story 2,"Nov 19, 1999",Adventure,G,245852179.0,404450426.0
317,Cradle Will Rock,"Dec 8, 1999",Drama,R,2899970.0,4609153.0
318,Deuce Bigalow: Male Gigolo,"Dec 10, 1999",Comedy,R,65535067.0,106921374.0
319,Bicentennial Man,"Dec 17, 1999",Drama,PG,58220776.0,94838225.0
320,Play it to the Bone,"Dec 24, 1999",Comedy,R,8427204.0,13180524.0
321,Fantasia 2000 (IMAX),"Jan 1, 2000",Musical,G,60507228.0,94852354.0
322,Gun Shy,"Feb 4, 2000",Comedy,R,1638202.0,2562155.0
323,The Tigger Movie,"Feb 11, 2000",Adventure,G,45542421.0,71228678.0
324,Mission to Mars,"Mar 10, 2000",Adventure,PG,60874615.0,95208344.0
325,High Fidelity,"Mar 31, 2000",Comedy,R,27277055.0,42661516.0
326,Keeping the Faith,"Apr 14, 2000",Romantic Comedy,PG-13,37036404.0,57925202.0
327,Dinosaur,"May 19, 2000",Adventure,PG,137748063.0,215438985.0
328,Shanghai Noon,"May 26, 2000",Western,PG-13,56932305.0,89042541.0
329,Gone in 60 Seconds,"Jun 9, 2000",Action,PG-13,101643008.0,158970411.0
330,Fantasia 2000 (Theatrical Release),"Jun 16, 2000",Musical,G,9103630.0,14238144.0
331,The Kid,"Jul 7, 2000",Comedy,PG,69688384.0,108993148.0
332,Coyote Ugly,"Aug 4, 2000",Drama,PG-13,60786269.0,95070168.0
333,The Crew,"Aug 25, 2000",Comedy,PG-13,13019253.0,20362201.0
334,Duets,"Sep 15, 2000",Drama,R,4734235.0,7404372.0
335,Remember the Titans,"Sep 29, 2000",Drama,PG,115654751.0,180742479.0
336,Unbreakable,"Nov 22, 2000",Thriller/Suspense,PG-13,94999143.0,148208901.0
337,102 Dalmatians,"Nov 22, 2000",Comedy,G,66941559.0,104055039.0
338,The Emperor's New Groove,"Dec 15, 2000",Adventure,G,89296573.0,136789252.0
339,"O Brother, Where Art Thou?","Dec 22, 2000",Comedy,PG-13,45506619.0,67922002.0
340,Double Take,"Jan 12, 2001",Action,PG-13,29823162.0,44418589.0
341,Recess: School's Out,"Feb 16, 2001",Comedy,G,36696761.0,54656124.0
342,Just Visiting,"Apr 6, 2001",Comedy,PG-13,4777007.0,7114869.0
343,Pearl Harbor,"May 25, 2001",Action,PG-13,198539855.0,295705112.0
344,Atlantis: The Lost Empire,"Jun 8, 2001",Adventure,PG,84052762.0,125188122.0
345,crazy/beautiful,"Jun 29, 2001",Drama,PG-13,16929123.0,25214223.0
346,The Princess Diaries,"Aug 3, 2001",Comedy,G,108244774.0,161218928.0
347,Bubble Boy,"Aug 24, 2001",Comedy,PG-13,5002310.0,7450434.0
348,Max Keeble's Big Move,"Oct 5, 2001",Comedy,PG,17292381.0,25749730.0
349,Corky Romano,"Oct 12, 2001",Comedy,PG-13,23978402.0,35705805.0
350,High Heels and Low Lifes,"Oct 26, 2001",,R,226792.0,337782.0
351,"Monsters, Inc.","Nov 2, 2001",Adventure,G,289423425.0,416073179.0
352,Out Cold,"Nov 21, 2001",Comedy,PG-13,13906394.0,20700691.0
353,The Royal Tenenbaums,"Dec 14, 2001",Black Comedy,R,52353636.0,76758193.0
354,Beauty and the Beast (IMAX),"Jan 1, 2002",Musical,G,25487028.0,36980311.0
355,Frank McKlusky C.I.,"Jan 1, 2002",,,0.0,0.0
356,Snow Dogs,"Jan 18, 2002",Comedy,PG,81150692.0,117745317.0
357,The Count of Monte Cristo,"Jan 25, 2002",Drama,PG-13,54228104.0,78682079.0
358,Peter Pan: Return to Neverland,"Feb 15, 2002",Adventure,G,48430258.0,70269715.0
359,Reign of Fire,"Feb 19, 2002",Action,PG-13,43061982.0,62480631.0
360,Sorority Boys,"Mar 22, 2002",Comedy,R,10198766.0,14797862.0
361,The Rookie,"Mar 29, 2002",Drama,G,75600072.0,109691666.0
362,Big Trouble,"Apr 5, 2002",Comedy,PG-13,7262288.0,10537188.0
363,ESPN's Ultimate X - The Movie,"May 10, 2002",Documentary,PG,4197175.0,6089874.0
364,Bad Company,"Jun 7, 2002",Action,PG-13,30157016.0,43756218.0
365,Lilo & Stitch,"Jun 21, 2002",Adventure,PG,145771527.0,211506702.0
366,The Country Bears,"Jul 26, 2002",Adventure,G,16988996.0,24650121.0
367,Signs,"Aug 2, 2002",Thriller/Suspense,PG-13,227965690.0,330754439.0
368,Sen to Chihiro no Kamikakushi,"Sep 20, 2002",Adventure,PG,10049886.0,14338992.0
369,Sweet Home Alabama,"Sep 27, 2002",Comedy,PG-13,127214072.0,184521151.0
370,Moonlight Mile,"Sep 27, 2002",Drama,PG-13,6830957.0,9909094.0
371,Tuck Everlasting,"Oct 11, 2002",Drama,PG,19161999.0,27789959.0
372,The Santa Clause 2,"Nov 1, 2002",Comedy,G,139225854.0,201959095.0
373,Treasure Planet,"Nov 27, 2002",Adventure,PG,38120554.0,55189145.0
374,The Hot Chick,"Dec 13, 2002",Comedy,PG-13,35081550.0,50624654.0
375,25th Hour,"Dec 19, 2002",Drama,R,13084595.0,18325463.0
376,The Recruit,"Jan 31, 2003",Thriller/Suspense,PG-13,52784696.0,73793522.0
377,Shanghai Knights,"Feb 7, 2003",Adventure,PG-13,60470220.0,84537962.0
378,The Jungle Book 2,"Feb 14, 2003",Adventure,G,47901582.0,66966883.0
379,Bringing Down the House,"Mar 7, 2003",Comedy,PG-13,132675402.0,185481530.0
380,Piglet's Big Movie,"Mar 21, 2003",Comedy,G,23103423.0,32298812.0
381,Ghosts of the Abyss,"Apr 11, 2003",Documentary,G,17093668.0,23803108.0
382,Holes,"Apr 18, 2003",Drama,PG,67383924.0,94203395.0
383,The Lizzie McGuire Movie,"May 2, 2003",Comedy,PG,42734455.0,59743191.0
384,Finding Nemo,"May 30, 2003",Adventure,G,380529370.0,518148559.0
385,Pirates of the Caribbean: The Curse o…,"Jul 9, 2003",Adventure,PG-13,305411224.0,426967926.0
386,Freaky Friday,"Aug 6, 2003",Comedy,PG,110222438.0,154090360.0
387,Open Range,"Aug 15, 2003",Western,R,58331254.0,81547672.0
388,Cold Creek Manor,"Sep 19, 2003",Thriller/Suspense,R,21384035.0,29895090.0
389,Under the Tuscan Sun,"Sep 26, 2003",Comedy,PG-13,43601508.0,60944053.0
390,Veronica Guerin,"Oct 17, 2003",Drama,R,1569918.0,2194759.0
391,Brother Bear,"Oct 24, 2003",Adventure,G,85336277.0,119218333.0
392,The Haunted Mansion,"Nov 26, 2003",Comedy,PG,75817994.0,105775678.0
393,Calendar Girls,"Dec 19, 2003",Comedy,PG-13,31011616.0,42379650.0
394,Young Black Stallion,"Dec 25, 2003",Adventure,G,6751389.0,9254344.0
395,Teacher's Pet: The Movie,"Jan 16, 2004",Comedy,PG,6491969.0,8812764.0
396,Miracle,"Feb 6, 2004",Drama,PG,64378093.0,87392478.0
397,Confessions of a Teenage Drama Queen,"Feb 20, 2004",Comedy,PG,29331068.0,39816568.0
398,Hidalgo,"Mar 5, 2004",Western,PG-13,67286731.0,91340921.0
399,The Ladykillers,"Mar 26, 2004",Comedy,R,39692139.0,53881593.0
400,Home on the Range,"Apr 2, 2004",Comedy,PG,50026353.0,67910166.0
401,The Alamo,"Apr 9, 2004",Western,PG-13,22406362.0,30416359.0
402,Raising Helen,"May 28, 2004",Comedy,PG-13,37485528.0,50886144.0
403,Around the World in 80 Days,"Jun 16, 2004",Adventure,PG,24004159.0,32585356.0
404,America's Heart and Soul,"Jul 2, 2004",Documentary,Not Rated,314000.0,426246.0
405,King Arthur,"Jul 7, 2004",Adventure,PG-13,51877963.0,70423706.0
406,The Village,"Jul 30, 2004",Thriller/Suspense,PG-13,114197520.0,155021748.0
407,The Princess Diaries 2: Royal Engagement,"Aug 11, 2004",Romantic Comedy,G,95149435.0,129164207.0
408,Mr. 3000,"Sep 17, 2004",Comedy,PG-13,21800302.0,29593641.0
409,The Last Shot,"Sep 24, 2004",Comedy,R,463730.0,629502.0
410,Ladder 49,"Oct 1, 2004",Action,PG-13,74541707.0,101161045.0
411,The Incredibles,"Nov 5, 2004",Adventure,PG,261441092.0,354488708.0
412,National Treasure,"Nov 19, 2004",Adventure,PG,173005002.0,234069353.0
413,The Life Aquatic with Steve Zissou,"Dec 10, 2004",Comedy,R,24006726.0,32198655.0
414,Aliens of the Deep,"Jan 28, 2005",Documentary,G,8968684.0,11740942.0
415,Pooh's Heffalump Movie,"Feb 11, 2005",Adventure,G,18098433.0,23801835.0
416,The Pacifier,"Mar 4, 2005",Comedy,PG,113006880.0,148619029.0
417,Ice Princess,"Mar 18, 2005",Comedy,G,24381334.0,32064685.0
418,A Lot Like Love,"Apr 22, 2005",Comedy,PG-13,21835784.0,28716947.0
419,The Hitchhiker's Guide to the Galaxy,"Apr 29, 2005",Comedy,PG,51019112.0,67096891.0
420,Hauru no ugoku shiro,"Jun 10, 2005",Adventure,PG,4710455.0,6194870.0
421,Herbie: Fully Loaded,"Jun 22, 2005",Comedy,G,66010682.0,86812798.0
422,Dark Water,"Jul 8, 2005",Thriller/Suspense,PG-13,25473093.0,33500491.0
423,Sky High,"Jul 29, 2005",Adventure,PG,63939454.0,84088854.0
424,Valiant,"Aug 19, 2005",Adventure,G,19478106.0,25616292.0
425,Flightplan,"Sep 23, 2005",Thriller/Suspense,PG-13,89706988.0,117960425.0
426,The Greatest Game Ever Played,"Sep 30, 2005",Drama,PG,15331289.0,20162672.0
427,Shopgirl,"Oct 21, 2005",Drama,R,10284523.0,13519621.0
428,Chicken Little,"Nov 4, 2005",Adventure,G,135386665.0,177954661.0
429,"The Chronicles of Narnia: The Lion, t…","Dec 9, 2005",Adventure,PG,291710957.0,381557539.0
430,Casanova,"Dec 25, 2005",Drama,R,11304403.0,14574087.0
431,Glory Road,"Jan 13, 2006",Drama,PG,42647449.0,54888236.0
432,Annapolis,"Jan 27, 2006",Drama,PG-13,17127992.0,22044113.0
433,Roving Mars,"Jan 27, 2006",Documentary,G,10407978.0,12948025.0
434,Eight Below,"Feb 17, 2006",Adventure,PG,81612565.0,105037235.0
435,The Shaggy Dog,"Mar 10, 2006",Comedy,PG,61123569.0,78667428.0
436,Stay Alive,"Mar 24, 2006",Horror,PG-13,23086480.0,29712825.0
437,The Wild,"Apr 14, 2006",Adventure,G,37384046.0,48114115.0
438,Stick It,"Apr 28, 2006",Comedy,PG-13,26910736.0,34634731.0
439,Goal! The Dream Begins,"May 12, 2006",Drama,PG,4283255.0,5512647.0
440,Cars,"Jun 9, 2006",Comedy,G,244082982.0,314140384.0
441,Pirates of the Caribbean: Dead Man’…,"Jul 7, 2006",Adventure,PG-13,423315812.0,544817142.0
442,Step Up,"Aug 11, 2006",Drama,PG-13,65328121.0,84078780.0
443,Invincible,"Aug 25, 2006",Drama,PG,57806952.0,74398864.0
444,The Guardian,"Sep 29, 2006",Action,PG-13,55011732.0,70801353.0
445,The Prestige,"Oct 20, 2006",Thriller/Suspense,PG-13,53089891.0,68289913.0
446,Tim Burton's The Nightmare Before Chr…,"Oct 20, 2006",Musical,PG,24732041.0,30737517.0
447,The Santa Clause 3: The Escape Clause,"Nov 3, 2006",Comedy,G,84500122.0,108694869.0
448,Déjà Vu,"Nov 22, 2006",Thriller/Suspense,PG-13,64038616.0,82267038.0
449,Apocalypto,"Dec 8, 2006",Adventure,R,50866635.0,64959548.0
450,Primeval,"Jan 12, 2007",Adventure,R,10597734.0,12985302.0
451,Bridge to Terabithia,"Feb 16, 2007",Drama,PG,82234139.0,100760721.0
452,Wild Hogs,"Mar 2, 2007",Comedy,PG-13,168213584.0,206110533.0
453,Meet the Robinsons,"Mar 30, 2007",Adventure,G,97822171.0,119860589.0
454,The Lookout,"Mar 30, 2007",Drama,R,4600585.0,5637048.0
455,The Hoax,"Apr 6, 2007",Drama,R,7164995.0,8779196.0
456,The Invisible,"Apr 27, 2007",Thriller/Suspense,PG-13,20568319.0,25202168.0
457,Pirates of the Caribbean: At World’…,"May 24, 2007",Adventure,PG-13,309420425.0,379129960.0
458,Ratatouille,"Jun 29, 2007",Comedy,G,206445654.0,252955933.0
459,Underdog,"Aug 3, 2007",Adventure,PG,43760605.0,53619462.0
460,The Game Plan,"Sep 22, 2007",Comedy,PG,90648202.0,111010758.0
461,Dan in Real Life,"Oct 20, 2007",Romantic Comedy,PG-13,47642963.0,58350234.0
462,Enchanted,"Nov 21, 2007",Romantic Comedy,PG,127706877.0,156074310.0
463,National Treasure 2: Book of Secrets,"Dec 21, 2007",Adventure,PG,219961501.0,267003525.0
464,Hannah Montana/Miley Cyrus: Best of B…,"Feb 1, 2008",Concert/Performance,G,65281781.0,76646993.0
465,Step Up 2 the Streets,"Feb 14, 2008",Drama,PG-13,58017783.0,68118371.0
466,College Road Trip,"Mar 7, 2008",Comedy,G,45610425.0,53550960.0
467,The Chronicles of Narnia: Prince Caspian,"May 16, 2008",Adventure,PG,141621490.0,166277038.0
468,WALL-E,"Jun 27, 2008",Adventure,G,223808164.0,262771918.0
469,Swing Vote,"Aug 1, 2008",Comedy,PG-13,16289867.0,19125841.0
470,Goal! 2: Living the Dream...,"Aug 29, 2008",Drama,PG-13,225067.0,264247.0
471,Miracle at St. Anna,"Sep 26, 2008",Drama,R,7916887.0,9295171.0
472,Beverly Hills Chihuahua,"Oct 3, 2008",Comedy,PG,94514402.0,110932022.0
473,Morning Light,"Oct 17, 2008",Documentary,PG,275093.0,322979.0
474,High School Musical 3: Senior Year,"Oct 24, 2008",Musical,G,90559416.0,106308538.0
475,Bolt,"Nov 21, 2008",Comedy,PG,114053759.0,133702498.0
476,Bedtime Stories,"Dec 25, 2008",Comedy,PG,110101975.0,128039679.0
477,Confessions of a Shopaholic,"Feb 13, 2009",Romantic Comedy,PG,44277350.0,49767744.0
478,Jonas Brothers: The 3D Concert Experi…,"Feb 27, 2009",Concert/Performance,G,38174685.0,38174685.0
479,Race to Witch Mountain,"Mar 13, 2009",Adventure,PG,67172594.0,75501997.0
480,Hannah Montana the Movie,"Apr 10, 2009",Drama,G,79576189.0,89443640.0
481,Earth,"Apr 22, 2009",Documentary,G,32011576.0,35981010.0
482,Up,"May 29, 2009",Adventure,PG,293004164.0,329336681.0
483,The Proposal,"Jun 19, 2009",Romantic Comedy,PG-13,163958031.0,184288829.0
484,G-Force,"Jul 24, 2009",Adventure,PG,119436770.0,134246932.0
485,Gake no ue no Ponyo,"Aug 14, 2009",Adventure,G,15090399.0,16961607.0
486,X Games 3D: The Movie,"Aug 21, 2009",Documentary,PG,1391434.0,1563976.0
487,Walt and El Grupo,"Sep 10, 2009",Documentary,PG,20521.0,23064.0
488,Surrogates,"Sep 25, 2009",Action,PG-13,38577772.0,43361416.0
489,Toy Story 3D Double Feature,"Oct 2, 2009",Adventure,G,30702446.0,34509545.0
490,Disney's A Christmas Carol,"Nov 6, 2009",Drama,PG,137855863.0,154927105.0
491,The Princess and the Frog,"Nov 25, 2009",Adventure,G,104400899.0,116316457.0
492,Old Dogs,"Nov 25, 2009",Comedy,PG,49492060.0,55503929.0
493,When in Rome,"Jan 29, 2010",Romantic Comedy,PG-13,32680633.0,34917330.0
494,Alice in Wonderland,"Mar 5, 2010",Adventure,PG,334191110.0,357063499.0
495,Waking Sleeping Beauty,"Mar 26, 2010",Documentary,PG,80741.0,86264.0
496,The Last Song,"Mar 31, 2010",Drama,PG,62950384.0,67258772.0
497,Oceans,"Apr 22, 2010",Documentary,G,19422319.0,20751600.0
498,Prince of Persia: Sands of Time,"May 28, 2010",Action,PG-13,90759676.0,96971361.0
499,Toy Story 3,"Jun 18, 2010",Adventure,G,415004880.0,443408255.0
500,The Sorcerer's Apprentice,"Jul 14, 2010",Adventure,PG,63150991.0,67473105.0
501,Step Up 3D,"Aug 6, 2010",Drama,PG-13,42400223.0,45302137.0
502,Gedo Senki (Tales from Earthsea),"Aug 13, 2010",Adventure,PG-13,48658.0,51988.0
503,You Again,"Sep 24, 2010",Comedy,PG,25702053.0,27461121.0
504,Secretariat,"Oct 8, 2010",Drama,PG,59699513.0,63781920.0
505,Tangled,"Nov 24, 2010",Adventure,PG,200821936.0,214388548.0
506,Tron: Legacy,"Dec 17, 2010",Adventure,PG,172062763.0,183619259.0
507,Gnomeo and Juliet,"Feb 11, 2011",Comedy,G,99967670.0,106270797.0
508,I am Number Four,"Feb 18, 2011",Adventure,PG-13,55100437.0,58574607.0
509,Mars Needs Moms,"Mar 11, 2011",Adventure,PG,21392758.0,22741603.0
510,African Cats,"Apr 22, 2011",Documentary,G,15428747.0,16401551.0
511,Zokkomon,"Apr 22, 2011",Adventure,PG,2815.0,2984.0
512,Prom,"Apr 29, 2011",Comedy,PG,10130219.0,10768946.0
513,Pirates of the Caribbean: On Stranger…,"May 20, 2011",Adventure,PG-13,241063875.0,256263359.0
514,Cars 2,"Jun 24, 2011",Adventure,G,191450875.0,203522177.0
515,Winnie the Pooh,"Jul 15, 2011",Adventure,G,26692846.0,28375869.0
516,The Help,"Aug 10, 2011",Drama,PG-13,169705587.0,180404976.0
517,Fright Night,"Aug 19, 2011",Horror,R,18298649.0,19452402.0
518,Real Steel,"Oct 7, 2011",Action,PG-13,85463309.0,90848019.0
519,The Muppets,"Nov 23, 2011",Comedy,PG,88625922.0,94189503.0
520,War Horse,"Dec 25, 2011",Drama,PG-13,79883359.0,84762149.0
521,The Secret World of Arietty,"Feb 17, 2012",Adventure,G,19192510.0,20325733.0
522,John Carter,"Mar 9, 2012",Adventure,PG-13,73058679.0,77372445.0
523,Chimpanzee,"Apr 20, 2012",Documentary,G,28965459.0,30675725.0
524,The Avengers,"May 4, 2012",Action,PG-13,623279547.0,660081224.0
525,Brave,"Jun 22, 2012",Adventure,PG,237282182.0,251292441.0
526,People Like Us,"Jun 29, 2012",Drama,PG-13,12431792.0,13165822.0
527,The Odd Life of Timothy Green,"Aug 15, 2012",Drama,PG,51853450.0,54914942.0
528,Frankenweenie,"Oct 5, 2012",Comedy,PG,35287788.0,37363513.0
529,Wreck-It Ralph,"Nov 2, 2012",Adventure,PG,189412677.0,200354959.0
530,Lincoln,"Nov 9, 2012",Drama,PG-13,182207973.0,192122330.0
531,Oz the Great and Powerful,"Mar 8, 2013",Adventure,PG,234770996.0,243434130.0
532,Iron Man 3,"May 3, 2013",Action,PG-13,408992272.0,424084233.0
533,Monsters University,"Jun 21, 2013",Adventure,G,268488329.0,278395641.0
534,The Lone Ranger,"Jul 2, 2013",Western,PG-13,89302115.0,92597388.0
535,Disney Planes,"Aug 9, 2013",Comedy,PG,90282580.0,93614037.0
536,The Fifth Estate,"Oct 18, 2013",Drama,R,3254172.0,3374251.0
537,Thor: The Dark World,"Nov 8, 2013",Adventure,PG-13,206362140.0,213962184.0
538,Kaze Tachinu,"Nov 8, 2013",Drama,PG-13,5201879.0,5367415.0
539,Frozen,"Nov 22, 2013",Adventure,PG,400738009.0,414997174.0
540,Delivery Man,"Nov 22, 2013",Comedy,PG-13,30659817.0,31787136.0
541,Saving Mr. Banks,"Dec 13, 2013",Drama,PG-13,83299761.0,86249969.0
542,Need for Speed,"Mar 14, 2014",Action,PG-13,43568507.0,44955015.0
543,Muppets Most Wanted,"Mar 21, 2014",Comedy,PG,51178893.0,52807594.0
544,Captain America: The Winter Soldier,"Apr 4, 2014",Action,PG-13,259746958.0,268013076.0
545,Bears,"Apr 18, 2014",Documentary,G,17780194.0,18346024.0
546,Million Dollar Arm,"May 10, 2014",Drama,PG,36447959.0,37607865.0
547,Maleficent,"May 30, 2014",Adventure,PG,241407328.0,249089809.0
548,Planes: Fire and Rescue,"Jul 18, 2014",Adventure,PG,59157732.0,61040349.0
549,Guardians of the Galaxy,"Aug 1, 2014",Adventure,PG-13,333172112.0,343771168.0
550,The Hundred-Foot Journey,"Aug 8, 2014",Romantic Comedy,PG,54235441.0,55961409.0
551,"Alexander and the Terrible, Horrible,…","Oct 10, 2014",Comedy,PG,66954149.0,69055550.0
552,Big Hero 6,"Nov 7, 2014",Adventure,PG,222527828.0,229249222.0
553,Into the Woods,"Dec 25, 2014",Musical,PG,128002372.0,130894237.0
554,Strange Magic,"Jan 23, 2015",Adventure,PG,12429583.0,12429583.0
555,"McFarland, USA","Feb 20, 2015",Drama,PG,44480275.0,44480275.0
556,Cinderella,"Mar 13, 2015",Drama,PG,201151353.0,201151353.0
557,Monkey Kingdom,"Apr 17, 2015",Documentary,G,16432322.0,16432322.0
558,Avengers: Age of Ultron,"May 1, 2015",Action,PG-13,459005868.0,459005868.0
559,Tomorrowland,"May 22, 2015",Adventure,PG,93436322.0,93436322.0
560,Inside Out,"Jun 19, 2015",Adventure,PG,356461711.0,356461711.0
561,Ant-Man,"Jul 17, 2015",Action,PG-13,180202163.0,180202163.0
562,Bridge of Spies,"Oct 16, 2015",Thriller/Suspense,PG-13,72313754.0,72313754.0
563,The Good Dinosaur,"Nov 25, 2015",Adventure,PG,123087120.0,123087120.0
564,Star Wars Ep. VII: The Force Awakens,"Dec 18, 2015",Adventure,PG-13,936662225.0,936662225.0
565,The Finest Hours,"Jan 29, 2016",Thriller/Suspense,PG,27569558.0,27569558.0
566,Zootopia,"Mar 4, 2016",Adventure,PG,341268248.0,341268248.0
567,The Jungle Book,"Apr 15, 2016",Adventure,PG,364001123.0,364001123.0
568,A Beautiful Planet,"Apr 29, 2016",Documentary,G,7895708.0,7895708.0
569,Captain America: Civil War,"May 6, 2016",Action,PG-13,408084349.0,408084349.0
570,Alice Through the Looking Glass,"May 27, 2016",Adventure,PG,77042381.0,77042381.0
571,Finding Dory,"Jun 17, 2016",Adventure,PG,486295561.0,486295561.0
572,The BFG,"Jul 1, 2016",Adventure,PG,55483770.0,55483770.0
573,Pete’s Dragon,"Aug 12, 2016",Adventure,PG,76233151.0,76233151.0
574,The Light Between Oceans,"Sep 2, 2016",Drama,PG-13,12545979.0,12545979.0
575,Queen of Katwe,"Sep 23, 2016",Drama,PG,8874389.0,8874389.0
576,Doctor Strange,"Nov 4, 2016",Adventure,PG-13,232532923.0,232532923.0
577,Moana,"Nov 23, 2016",Adventure,PG,246082029.0,246082029.0
578,Rogue One: A Star Wars Story,"Dec 16, 2016",Adventure,PG-13,529483936.0,529483936.0
